"OBJECTID","DCRAINTERNALNUMBER","ISSUE_DATE","PERMIT_ID","PERMIT_TYPE_NAME","PERMIT_SUBTYPE_NAME","PERMIT_CATEGORY_NAME","APPLICATION_STATUS_NAME","FULL_ADDRESS","DESC_OF_WORK","SSL","ZONING","PERMIT_APPLICANT","FEE_TYPE","FEES_PAID","OWNER_NAME","LASTMODIFIEDDATE","CITY","STATE","LATITUDE","LONGITUDE","XCOORD","YCOORD","ZIPCODE","MARADDRESSREPOSITORYID","DCSTATADDRESSKEY","DCSTATLOCATIONKEY","WARD","ANC","SMD","DISTRICT","PSA","NEIGHBORHOODCLUSTER","HOTSPOT2006NAME","HOTSPOT2005NAME","HOTSPOT2004NAME","BUSINESSIMPROVEMENTDISTRICT","YEAR"
226362,"111306106","2013-05-23T00:00:00.000Z","B1306106","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","109 WALTMAN PL NE","NEW SINGLE FAMILY EATON WITH DECK- PUD PER Z.C. ORDER 05-03","3719    0932",NA,"JANICE MARUT  PERMIT PUSHERS","297.54 (NEW1);29.75 (NEWEFEE3);0.41 (GRNEFEE);29.75 (NEWEFEE);4.10 (NEW2);297.54 (FILINGFEE)","659","6000 NEW HAMPSHIRE AVENUE  LLC","2016-01-12T13:10:15.000Z","WASHINGTON","DC",38.96314,-77.005485,399524.61,143914.39,"20011",310809,474349,408363,"4","4B","4B07","FOURTH","406","19","NONE","NONE","NONE","NONE",2013
226363,"111306107","2013-05-23T00:00:00.000Z","B1306107","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","105 WALTMAN PL NE","NEW SINGLE FAMILY EATON WITH DECK - PUD PER Z. C. ORDER 05-30","3719    0930",NA,"JANICE MARUT  PERMIT PUSHERS","29.75 (NEWEFEE);297.54 (NEW1);0.41 (GRNEFEE);29.75 (NEWEFEE3);4.10 (NEW2);297.54 (FILINGFEE)","659","6000 NEW HAMPSHIRE AVENUEL  LLC","2016-01-21T08:10:08.000Z","WASHINGTON","DC",38.96314,-77.005619,399513,143914.39,"20011",310811,474357,408294,"4","4B","4B07","FOURTH","406","19","NONE","NONE","NONE","NONE",2013
226404,"111203412","2013-02-22T00:00:00.000Z","B1203412","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","1339 KEARNY ST NE","NEW 2 STORIES PLUS BASEMENT SINGLE FAMILY DWELLING ON EMPTY LOT.","3961    0020","R-1-B",NA,"0.80 (AAREFEEGRN);160.20 (AAREFEE);1602.00 (ALTREPAIR);8.01 (GREENBLDG)","1771","LEORY LLOYD I I I  MARTHA R LLOYD","2016-01-12T13:10:15.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226443,"111307304","2013-06-28T00:00:00.000Z","B1307304","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","6003 MCLEAN PL NE","NEW SINGLE FAMILY ATTACHED RESIDENCE WITHIN PUD PER Z. C. ORDER 05-30","3719    0915",NA,"JANICE  MARUT PERMIT PUSHERS","297.54 (FILINGFEE);361.90 (ALTREPAIR)","659","NEW HAMPSHIRE AVE VENTURES LLC","2015-10-06T06:48:23.000Z","WASHINGTON","DC",38.963412,-77.005713,399504.87,143944.58,"20011",310715,474313,408386,"4","4B","4B07","FOURTH","406","19","NONE","NONE","NONE","NONE",2013
226444,"111307306","2013-06-28T00:00:00.000Z","B1307306","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","6001 MCLEAN PL NE","NEW SINGLE FAMILY ATTACHED RESIDENCE EATON WITH PUD PER Z. C. ORDER 0530","3719    0914",NA,"JANICE  MARUT PERMIT PUSHERS","361.90 (ALTREPAIR);297.54 (FILINGFEE)","659","NEW HAMPSHIRE AVE VENTURES LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.963359,-77.005719,399504.37,143938.77,"20011",310716,474341,408288,"4","4B","4B07","FOURTH","406","19","NONE","NONE","NONE","NONE",2013
226445,"111307317","2013-10-10T00:00:00.000Z","B1307317","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","5401 HAWTHORNE PL NW","NEW CONSTRUCTION OF 3 STORY WITH BASEMENT SINGLE FAMILY STRUCTURE ON VACANT LOT INCLUDING FULL MEPS","1439    0061",NA,"CARMELE  GREER","69.95 (NEWEFEE);0.73 (GRNEFEE);699.52 (FILINGFEE);699.51 (NEW1);7.34 (NEW2);69.95 (NEWEFEE3)","1547","CARMELE  GREER","2016-01-12T13:10:16.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226446,"111307339","2013-05-30T00:00:00.000Z","B1307339","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","660 NORTH CAPITOL ST NW","3RD AND FINAL EXTENSION OF BUILDING PERMIT B92884, TO EXPIRE ON NOVEMBER 5, 2013.","0625    0062",NA,"ROBERT  SOCKWELL","33.00 (NEW1);3.30 (NEWEFEE)","36","660 NORTH CAPITOL STREET PROPERTY, LLC  C/O REPUBLIC PROPERTOES C","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.898603,-77.009434,399181.68,136750.26,"20001",310531,362414,348027,"6","6C","6C01","FIRST","103","8","NONE","NONE","NONE","NOMA BID",2013
226452,"111308277","2013-11-05T00:00:00.000Z","B1308277","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","4865 POTOMAC AVE NW","REVISION TO B1302060 TO INCLUDE AN ON-SITE STORM WATER FILTRATION SYSTEM","1388    0100",NA,"THOMAS  RAITHEL","70.00 (ARPFEEEMANU);7.26 (ARFILEEFEE);2.60 (GREENBLDG)","80","LANDBREEZE LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.917612,-77.098681,391442.15,138865.04,"20007",310534,473157,407317,"3","3D","3D05","SECOND","205","13","NONE","NONE","NONE","NONE",2013
226453,"111308324","2013-06-27T00:00:00.000Z","B1308324","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","4942 FITCH PL NE","1ST EXTENSION TO PERMIT NO. B-1001838 TO EXPIRE 7/9/13.","5181    0068",NA,"PREDDIE","33.00 (NEW1);3.30 (NEWEFEE)","36","50TH AND FITCH LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.896411,-76.930298,406046.55,136509.14,"20019",308011,458624,394557,"7","7C","7C01","SIXTH","602","31","NONE","NONE","NONE","NONE",2013
226454,"111308325","2013-06-27T00:00:00.000Z","B1308325","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","4944 FITCH PL NE","1ST EXTENSION TO PERMIT NO. B-1001839 TO EXPIRE 7/9/13.","5181    0067",NA,"PREDDIE","33.00 (NEW1);3.30 (NEWEFEE)","36","50TH AND FITCH LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.896412,-76.930227,406052.66,136509.28,"20019",308012,458626,394684,"7","7C","7C01","SIXTH","602","31","NONE","NONE","NONE","NONE",2013
226455,"111308326","2013-06-27T00:00:00.000Z","B1308326","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","4946 FITCH PL NE","1ST EXTENSION TO PERMIT NO. B-1001840 TO EXPIRE 7/9/13.","5181    0066",NA,"PREDDIE","33.00 (NEW1);3.30 (NEWEFEE)","36","50TH AND FITCH LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.896418,-76.930164,406058.19,136509.97,"20019",308013,458628,394558,"7","7C","7C01","SIXTH","602","31","NONE","NONE","NONE","NONE",2013
226501,"111103949","2013-10-31T00:00:00.000Z","B1103949","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","2401 WASHINGTON PL NE","60,000 SF 5 FLOORS AND BASEMENT  GARAGE APARTMENT BUILDING. FULLY SPRINKLERED.  47 AFFORDABLE APARTMENT UNITS.","3848    0060",NA,"MELVIN  MITCHELL","8653.37 (FILINGFEE);2176.63 (NEW1);120.00 (NEW2);1095.00 (NEWEFEE)","12045","ISRAEL MANOR INC.","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.921554,-76.99331,400580.16,139297.96,"20018",309338,464832,399929,"5","5B","5B03","FIFTH","505","22","NONE","NONE","NONE","NONE",2013
226533,"111309232","2013-07-26T00:00:00.000Z","B1309232","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","2700 SHERIDAN RD SE","NEW CONSTRUCTION OF A 10-UNIT APARTMENT BUILDING WITH 4-STORY 4-UNIT BUILDING, AN ATTACHED 3-STORY SFD, AND 5 SIDE-BY-SIDE 2-LEVEL SFD. PHASE III OF SHERIDAN REDEVELOPMENT PUD APPROVED UNDER ZC 07-35C.","5872    0995",NA,"BRIAN E MCLAUGHLIN","595.50 (AREFEEMAN);43.79 (GREENBLDG);5911.26 (ARPFEEEMANU)","6551","SHERIDAN STATION SOUTH LP","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.856661,-76.992929,400613.71,132094.38,"20020",311128,475306,409054,"8","8A","8A06","SEVENTH","703","37","NONE","NONE","NONE","NONE",2013
226534,"111309235","2013-07-26T00:00:00.000Z","B1309235","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","2767 DOUGLAS RD SE","PHASE 3 - NEW SEVEN (7) UNIT APARTMENT BUILDING WITH ADDRESSES: 2767, 2769, 2771, 2773, 2775, 2777, AND 2779.","5872    1004","PUD 07-35/R-5-B","BRIAN E MCLAUGHLIN","4.31 (AAREFEEGRN);5811.45 (ALTREPAIR);581.15 (AAREFEE);43.05 (GREENBLDG)","6440","SHERIDAN STATION SOUTH LP","2016-01-12T13:10:16.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226536,"111309301","2013-11-06T00:00:00.000Z","B1309301","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","1958 FOXVIEW CIR NW","BUILD A NEW SINGLE FAMILY DETACHED HOUSE ON A VACANT LOT","1346    0886",NA,"JANICE MARUT  PERMIT PUSHERS","1467.65 (FILINGFEE);2.02 (GRNEFEE);20.16 (NEW2);146.77 (NEWEFEE);146.77 (NEWEFEE3);1467.65 (NEW1)","3398","FOXHALL HOLDINGS  LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.915318,-77.084605,392662.63,138609.13,"20007",307217,449944,386631,"3","3D","3D09","SECOND","205","13","NONE","NONE","NONE","NONE",2013
226539,"111309364","2013-12-03T00:00:00.000Z","B1309364","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","2116 3RD ST NE","NEW 2 UNIT BUILDING WITH 3 FLOORS AND CELLAR","3561    0007",NA,"OUSMAN  BA","106.77 (AREFEEMAN);1.69 (GREENBLDG);52.04 (NEWEFEE3);520.42 (FILINGFEE);493.50 (ADDALTREP)","1174","ECKINGTON STATION LLC","2016-01-14T08:16:27.000Z","WASHINGTON","DC",38.918667,-77.002234,399806.28,138977.51,"20002",311051,475101,408877,"5","5C","5C05","FIFTH","502","21","NONE","NONE","NONE","NONE",2013
226540,"111309365","2013-12-03T00:00:00.000Z","B1309365","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","2118 3RD ST NE","NEW 2 UNIT BUILDING WITH 3 FLOORS AND A CELLAR","3561    0007",NA,"OUSMAN  BA","493.50 (ALTREPAIR);520.42 (FILINGFEE);52.04 (NEWEFEE3);106.77 (ARFILEEFEE);1.69 (GREENBLDG)","1174","ECKINGTON STATION LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.918714,-77.002234,399806.28,138982.75,"20002",311052,267364,267551,"5","5C","5C05","FIFTH","502","21","NONE","NONE","NONE","NONE",2013
226541,"111309366","2013-12-03T00:00:00.000Z","B1309366","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","2124 3RD ST NE","NEW 2 UNIT BUILDING WITH 3 FLOORS AND CELLAR","3561    0010","*","OUSMAN  BA","52.04 (NEWEFEE3);106.77 (ARFILEEFEE);520.42 (FILINGFEE);1.69 (GREENBLDG);493.50 (ALTREPAIR)","1174","ECKINGTON STATION LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.918871,-77.00223,399806.64,139000.12,"20002",311055,378092,338274,"5","5C","5C05","FIFTH","502","21","NONE","NONE","NONE","NONE",2013
226542,"111309367","2013-12-03T00:00:00.000Z","B1309367","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","2126 3RD ST NE","NEW 2 UNIT BUILDING WITH 3 FLOORS AND CELLAR","3561    0812","*","ECKINGTON STATION LLC","2.35 (GREENBLDG);908.04 (ALTREPAIR);52.04 (NEWEFEE3);520.42 (FILINGFEE);148.29 (ARFILEEFEE)","1631","ECKINGTON STATION LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.918936,-77.002231,399806.56,139007.4,"20002",311056,395894,319044,"5","5C","5C05","FIFTH","502","21","NONE","NONE","NONE","NONE",2013
226583,"111308172","2013-10-09T00:00:00.000Z","B1308172","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","401 15TH ST SE","NEW CONSTRUCTION OF A 5 STORY MIXED USE BUILDING WITH COMMERCIAL RETAIL ON THE GROUND/1ST FLOOR AND 12 RESIDENTIAL UNITS ON FLOORS 2-5 AS PER PLANS.","1062    0010",NA,"CARLOS R. IGLES  BELLO, BELLO ? ASSOCIATES, LLC","33.60 (NEW2);3.36 (GRNEFEE);2671.20 (NEW1);267.12 (NEWEFEE3);292.12 (NEWEFEE);250.00 (ZONEINCLUS);2671.20 (FILINGFEE)","7257","GOODEON KINGSTON LLC","2016-01-21T08:10:08.000Z","WASHINGTON","DC",38.883907,-76.983869,401399.59,135119.03,"20003",309081,214865,214865,"6","6B","6B06","FIRST","108","26","NONE","NONE","NONE","NONE",2013
226589,"111303102","2013-03-28T00:00:00.000Z","B1303102","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","1131 5TH ST NE","NEW CONSTRUCTION OF TWO FAMILY FLAT.","0829    0075",NA,"OUSMANE  BA","1269.00 (ARPFEEEMANU);127.84 (AREFEEMAN);9.40 (GBEHANMANU)","1406","1133 5TH STREET LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.904558,-76.999241,400065.8,137411.26,"20002",310873,474583,408492,"6","6C","6C04","FIRST","104","25","NONE","NONE","NONE","NONE",2013
226590,"111303155","2013-02-08T00:00:00.000Z","B1303155","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","1400 7TH ST NW","SUPERSTRUCTURE ONLY FOR NEW SENIOR HOUSING COMPONENT OF CITY MARKET AT O PUD. THIRD PARTY REVIEWED. (PHASE 2B, SEGMENT 6). FOR FOUNDATION DETAILS, SEE PERMIT NO. B1106904",NA,NA,"PHILLIP PITTING  CAPITOL PERMITS","10171.88 (FILINGFEE);10171.88 (NEW1)","20344","CM AT O  HOLDING COMPANY INC.","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.908763,-77.022123,398081.2,137878.29,"20001",304153,173148,173148,"6","2C","2C01","THIRD","308","7","NONE","NONE","NONE","NONE",2013
226592,"111303684","2013-02-20T00:00:00.000Z","B1303684","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","1676 MARYLAND AVE NE","TEMPORARY CONSTRUCTION TRAILER AND LAYDOWN YARD AT EXISTING LOT.","4491    0810",NA,"FACCHINA CONSTRUCTION COMPANY","108.00 (FILINGFEE)","108","1600 MARYLAND AVE LAND, LLC","2015-06-03T07:00:43.000Z","WASHINGTON","DC",38.902031,-76.979573,401771.83,137131,"20002",310898,474686,408572,"5","5B","5B10","FIFTH","507","23","NONE","NONE","NONE","NONE",2013
226594,"111303757","2013-05-03T00:00:00.000Z","B1303757","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","3706 HANSBERRY CT NE","NEW SINGLE FAMILY DWELLING TYPE STRAUSS- PER PUD ZC #06-08 INCLUDING 8 FT X 19 FT DECK.","4327    0945",NA,"DAVID FONTANA  MCKEEVER SERVICES CORP.","432.00 (NEW1);432.00 (FILINGFEE);43.20 (NEWEFEE3);4.80 (NEW2);0.48 (GRNEFEE);43.20 (NEWEFEE)","956","FORT LINCOLN-GATEWAY VILLAGE, LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.923291,-76.952882,404085.88,139491.85,"20018",310762,474425,408331,"5","5A","5A12","FIFTH","503","24","NONE","NONE","NONE","NONE",2013
226629,"111208792","2013-05-28T00:00:00.000Z","B1208792","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","5333 CONNECTICUT AVE NW","NEW 263 UNIT APARTMENT BUILDING CONSITING OF: 9 STORIES; A PENTHOUSE LEVEL; TWO CELLAR PARKING LEVELS AND 1 CELLAR/BASEMENT LEVEL FOR RESIDENTIAL USE AND STORAGE. THE USE SHALL INCLUDE 88 REQUIRED AUTOMOBILE PARKING SPACES; ONE REQUIRED LOADING BERTH AT 55 FT. DEEP X 12 FEET WIDE X 14 FT. HIGH; ONE LOADING PLATFORM AT 200 SQ-FT. X 12 FT. WIDE X 10 FT. HIGH; ONE SERVICE SPACE AT 20 FT. DEEP X 10 FT. WIDE X 10 FT. HIGH WITH ROOFTOP SWIMMING POOL","1873    0128",NA,"JAN  MURET","71601.97 (ALTREPAIR);67.85 (AAREFEEGRN);678.53 (GREENBLDG);20000.00 (FILINGFEE);9160.20 (AREFEEMAN)","101509","CMK DEV LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.960585,-77.072666,393702.06,143633.24,"20015",310383,406882,350146,"3","3G","3G07","SECOND","201","10","NONE","NONE","NONE","NONE",2013
226633,"111209825","2013-04-10T00:00:00.000Z","B1209825","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","1744 D ST NE","NEW 3-STORY AND CELLAR WITH PENTHOUSE RESIDENTIAL BUILDING.",NA,NA,"BELLO BELLO AND ASSOCIATES","860.41 (REVISION);480.00 (FILINGFEE)","1340","FIRST HAND LAND LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.894957,-76.979119,401811.43,136345.67,"20002",310300,395618,318193,"6","6A","6A08","FIFTH","507","25","NONE","NONE","NONE","NONE",2013
226677,"111310708","2013-11-20T00:00:00.000Z","B1310708","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","762 WATER LILY LN NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630.","5039    0807",NA,"PHILLIP PITTING  CAPITOL PERMITS","20.40 (NEWEFEE);0.01 (NEW2);204.00 (NEW1);204.00 (FILINGFEE);20.40 (NEWEFEE3)","449","POLLIN MEMORIAL DEVELOPMENT / DCHA","2016-01-12T13:10:16.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226678,"111310709","2013-11-20T00:00:00.000Z","B1310709","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","764 WATER LILY LN NE","NEW TWO FAMILY FLAT IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630.","5039    0806",NA,"PHILLIP PITTING  CAPITOL PERMITS","179.52 (FILINGFEE);179.52 (NEW1);17.95 (NEWEFEE3);17.95 (NEWEFEE)","395","POLLIN MEMORIAL DEVELOPMENT / DCHA","2015-10-06T06:48:23.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226783,"111305914","2013-06-19T00:00:00.000Z","B1305914","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","3605 HAYES ST NE","TWO UNIT APARTMENT DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630","5040    0095",NA,"POLLIN MEMORIAL  DCHA; PHILLIP PITTING  CAPITOL PERMITS","24.88 (GREENBLDG);1679.52 (ALTREPAIR);1679.52 (FILINGFEE);338.39 (AREFEEMAN)","3722","POLLIN MEMORIAL COMMUNITY DEVELOPMENT  DCHA","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.902374,-76.949663,404366.3,137170.05,"20019",309176,464417,399591,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2013
226784,"111305915","2013-06-19T00:00:00.000Z","B1305915","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","3603 HAYES ST NE","TWO UNIT APARTMENT DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630","5040    0094",NA,"POLLIN MEMORIAL  DCHA; PHILLIP PITTING  CAPITOL PERMITS","1679.52 (ALTREPAIR);1679.52 (FILINGFEE);338.39 (AREFEEMAN);24.88 (GREENBLDG)","3722","POLLIN MEMORIAL COMMUNITY DEVELOPMENT  DCHA","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.902413,-76.949713,404361.93,137174.42,"20019",309175,464415,399590,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2013
226785,"111305919","2013-06-19T00:00:00.000Z","B1305919","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","3601 HAYES ST NE","TWO UNIT APARTMENT DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630","5040    0093",NA,"POLLIN MEMORIAL  DCHA; PHILLIP PITTING  CAPITOL PERMITS","1679.52 (ALTREPAIR);24.88 (GREENBLDG);1679.52 (FILINGFEE);338.39 (AREFEEMAN)","3722","POLLIN MEMORIAL COMMUNITY DEVELOPMENT  DCHA","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.902468,-76.949775,404356.54,137180.47,"20019",309174,464413,399589,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2013
226786,"111305942","2013-06-19T00:00:00.000Z","B1305942","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","758 BARNES ST NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630","5040    0101",NA,"POLLIN MEMORIAL  DCHA; PHILLIP PITTING  CAPITOL PERMITS","48.96 (AREFEEMAN);243.00 (FILINGFEE);243.00 (ADDALTREP);3.60 (GREENBLDG)","539","POLLIN MEMORIAL COMMUNITY DEVELOPMENT  DCHA","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.902061,-76.949812,404353.4,137135.34,"20019",309182,464429,399612,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2013
226787,"111305943","2013-06-19T00:00:00.000Z","B1305943","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","760 BARNES ST NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630","5040    0100",NA,"POLLIN MEMORIAL  DCHA; PHILLIP PITTING  CAPITOL PERMITS","48.96 (AREFEEMAN);243.00 (FILINGFEE);243.00 (ADDALTREP);3.60 (GREENBLDG)","539","POLLIN MEMORIAL COMMUNITY DEVELOPMENT  DCHA","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.902098,-76.949765,404357.44,137139.38,"20019",309181,464427,399594,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2013
226788,"111310710","2013-11-20T00:00:00.000Z","B1310710","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","766 WATER LILY LN NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630.","5039    0805",NA,"PHILLIP PITTING  CAPITOL PERMITS",NA,"449","POLLIN MEMORIAL DEVELOPMENT / DCHA","2015-06-12T11:54:34.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226789,"111310711","2013-11-20T00:00:00.000Z","B1310711","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","768 WATER LILY LN NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630.","5039    0804",NA,"PHILLIP PITTING  CAPITOL PERMITS","20.40 (NEWEFEE);0.01 (NEW2);204.00 (NEW1);204.00 (FILINGFEE);20.40 (NEWEFEE3)","449","POLLIN MEMORIAL DEVELOPMENT / DCHA","2016-01-12T13:10:16.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226790,"111310713","2013-11-20T00:00:00.000Z","B1310713","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","770 WATER LILY LN NE","NEW TTWO FAMILY FLAT IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT PUD 0630.","5039    0803",NA,"PHILLIP PITTING  CAPITOL PERMITS","17.95 (NEWEFEE);179.52 (NEW1);179.52 (FILINGFEE);17.95 (NEWEFEE3)","395","POLLIN MEMORIAL DEVELOPMENT / DCHA","2016-01-12T13:10:16.000Z",NA,NA,0,0,0,0,NA,-100,-100,348291,NA,"NONE","NONE",NA,NA,"NONE","NONE","NONE","NONE","NONE",2013
226793,"111311034","2013-11-15T00:00:00.000Z","B1311034","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","7112 CHESTNUT ST NW","NEW CONSTRUCTION OF A SINGLE FAMILY HOUSE.","3184    0028","R-1-B","7112 CHESTNUT STREET LLC","516.60 (FILINGFEE);464.94 (ALTREPAIR);7.65 (GREENBLDG);104.09 (ARFILEFEEMAN);51.66 (NEWEFEE3)","1145","7112 CHESTNUT STREET LLC","2016-01-12T13:10:16.000Z","WASHINGTON","DC",38.976759,-77.019864,398278.75,145426.39,"20012",251227,94408,94408,"4","4B","4B01","FOURTH","401","17","NONE","NONE","NONE","NONE",2013
226795,"111311092","2013-09-18T00:00:00.000Z","B1311092","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","401 17TH ST NE","TEMPORARY CONSTRUCTION TRAILER ON PRIVATE PROPERTY DURING CONSTRUCTION OF 18 TOWNHOMES 9/23/2013 THRU 6/30/2014","4546    0178",NA,"IAN  SWAIN","71.50 (ARPFEEEMANU)","72","DISTRICT DEVELOPMENT  GROUP","2015-06-03T07:00:43.000Z","WASHINGTON","DC",38.895248,-76.980547,401687.52,136378.02,"20002",311012,474988,408789,"6","6A","6A08","FIFTH","507","25","NONE","NONE","NONE","NONE",2013
226207,"111214663","2013-01-25T00:00:00.000Z","B1214663","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","2824 CHANCELLORS WAY NE","CONSTRUCT NEW FOUR STORY SFD AS PART OF PUD CASE 07-27.  NEW UNIT TYPE C WITH TWO CAR GARAGE.  CLEARING, GRADING AND UTILITY WORK UNDER SEPARATE PERMITS.  PROPERTY IS CURRENTLY VACANT LAND.","3648    0961",NA,"DAVID FONTANA  MCKEEVER SERVICES CORP.","0.52 (GRNEFEE);36.45 (NEW1);364.50 (FILINGFEE);5.18 (NEW2);36.45 (NEWEFEE3);364.50 (NEW1)","808","SP ASSOCIATES III LLC","2016-01-12T13:10:15.000Z","WASHINGTON","DC",38.926507,-76.999637,400031.49,139847.74,"20017",310335,471702,405992,"5","5C","5C09","FIFTH","502","21","NONE","NONE","NONE","NONE",2013
